animeTitle	PriPri Chii-chan!!
animeType	TV
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	600
animeRank	
animePopularity	8487
animeDescription	The story revolves around a girl named Yuuka, who encounters a being from the depths of the Earth named Chii-chan (a pun of chiteijin, the Japanese word for underground-dweller), and an alien named Ucchan (a pun of uchuujin or alien). The story follows their heartwarming and chaotic everyday lives together. 
animeRelated	['PriPri Chii-chan!!']
animeCharacters	['Chii-chan', 'Joe-kun', 'Uc-chan', 'Saeki, Yuuka', 'Cook-chan', 'Suou, Akari']
animeVoices	['Murakawa, Rie', 'Nagae, Rika', 'Kurose, Yuuko', 'Asakura, Momo', 'Natsukawa, Shiina', 'Satou, Arise']
animeStaff	[['Ikezoe, Takahiro', 'Director, Episode Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Tomatsu, Haruka', 'Theme Song Performance'], ['Toyosaki, Aki', 'Theme Song Performance']]
