animeTitle	This Is Not Blue
animeType	Movie
animeNumEpisode	1
releaseDate	2020-07-29 00:00:00
endDate	
animeNumMembers	873
animeScore	5.45
animeUsers	446
animeRank	10519
animePopularity	11500
animeDescription	"An experimental film by mareykrap about the color blue. Blue pigment in the natural world is very rare. Instead, what we typically observe is the reflection of blue light waves. How much ""true blue"" really exists in our world? A series of blue images. Or are they?"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
