animeTitle	b'This Is Not Blue'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.45
animeUsers	446
animeRank	
animePopularity	
animeDescription	"b'An experimental film by mareykrap about the color blue. Blue pigment in the natural world is very rare. Instead, what we typically observe is the reflection of blue light waves. How much ""true blue"" really exists in our world? A series of blue images. Or are they?'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
