animeTitle	Kobato.: Hajimete no Kobato.
animeType	Special
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	3138
animeRank	
animePopularity	5500
animeDescription	Mini Flash anime from the limited-edition DVDs volumes (episodes 1-6) and Blu-ray Box (episodes 1-8, of which 7 and 8 were new additions to the Blu-ray box).
animeRelated	['Kobato.']
animeCharacters	['Hanato, Kobato', 'Ioryogi']
animeVoices	['Hanazawa, Kana', 'Inada, Tetsu']
animeStaff	[['CLAMP', 'Storyboard']]
