animeTitle	Otsuki-sama to Oujo
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	107
animeRank	
animePopularity	14201
animeDescription	"Sachiko is unhappy and doesn't have a lot of energy. One day, a white rabbit appears and takes her to the ""Land of the Moon."" There, she meets her ""true self,"" a happy and healthy girl, and Sachiko realizes she can be just like her."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
