animeTitle	Sore Ike! Anpanman: Omusubiman
animeType	Movie
animeNumEpisode	1
releaseDate	1990-07-07 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15043
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Omusubiman', 'Komusubiman', 'Tanuki Oni']
animeVoices	['Kyouda, Hisako', 'Hayashibara, Megumi', 'Yamadera, Kouichi']
animeStaff	[['Ooga, Shunji', 'Director'], ['Maeda, Minoru', 'Animation Director'], ['Yanase, Takashi', 'Original Creator'], ['Izumi, Taku', 'Music']]
