animeTitle	b'Gunnm 3D Special'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.81
animeUsers	1234
animeRank	
animePopularity	
animeDescription	"b'A 3 minute 3D-CGI rendered movie clip included with volume 6 of the Gunnm: Complete Edition manga reprint. It showcases Alita in a Third League motorball race with players from two of her races such as ""Armor"" Togo, Degchalev, and Valdicci, and depicts events from both of those races.\n\n(Source: AniDB)'"
animeRelated	[b'Gunnm']
animeCharacters	[b'Gally']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKishiro, Yukito\n\nOriginal Creator\n\n']
