animeTitle	b'Rere no Aoi Sora'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Music video for the song Rere no Aoi Sora by Japanese stringed musician Kiyoshi Kobayashi under the pseudonym ""Ukulele Ojisan"" that was featured on NHK\'s Minna no Uta program. It was included as the title track on a two-disc CD produced by Nippon Columbia that same month, which included various other songs from the Minna no Uta catalog.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
