animeTitle	Zan Sayonara Zetsubou Sensei
animeType	TV
animeNumEpisode	13
releaseDate	2009-07-05 00:00:00
endDate	2009-09-27 00:00:00
animeNumMembers	96041
animeScore	7.89
animeUsers	36092
animeRank	706
animePopularity	1683
animeDescription	"Nozomu Itoshiki is still the bizarre teacher of the even stranger Class 2-F. He attempts to teach his students the negative aspects of the world and society, only to have each circumstance thrown at his face whenever he tries. With more students and friends than before, Zetsubo-sensei's life becomes harder and crazier than ever before.

(Source: ANN)"
animeRelated	['Sayonara Zetsubou Sensei', 'Goku Sayonara Zetsubou Sensei', 'Zan Sayonara Zetsubou Sensei Bangaichi']
animeCharacters	['Itoshiki, Nozomu', 'Fuura, Kafuka', 'Kitsu, Chiri', 'Komori, Kiri', 'Tsunetsuki, Matoi', 'Hitou, Nami', 'Sekiutsu, Tarou', 'Fujiyoshi, Harumi', 'Otonashi, Meru', 'Kobushi, Abiru']
animeVoices	['Kamiya, Hiroshi', 'Nonaka, Ai', 'Inoue, Marina', 'Tanii, Asuka', 'Sanada, Asami', 'Shintani, Ryouko', 'Sawashiro, Miyuki', 'Matsuki, Miyu', 'Saitou, Chiwa', 'Gotou, Yuuko']
animeStaff	[['Miyamoto, Junnosuke', 'Producer'], ['Ooshima, Miku', 'Assistant Producer'], ['Shinbou, Akiyuki', 'Director'], ['Miyamoto, Yukihiro', 'Director, Episode Director']]
