animeTitle	b'Akazukin to Kenkou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.39
animeUsers	189
animeRank	
animePopularity	
animeDescription	"b""Graduation Work of Inoue Ryou which won the Toronto Japanese Short Film Festival award in 2011. A funny animation about Little Red Riding Hood who tries to help the wolf's organs who are troubled by the fact that the wolf has metabolic syndrome.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
