animeTitle	Akazukin to Kenkou
animeType	OVA
animeNumEpisode	1
releaseDate	2007-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.39
animeUsers	189
animeRank	
animePopularity	13560
animeDescription	"Graduation Work of Inoue Ryou which won the Toronto Japanese Short Film Festival award in 2011. A funny animation about Little Red Riding Hood who tries to help the wolf's organs who are troubled by the fact that the wolf has metabolic syndrome.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
