animeTitle	Mentori
animeType	ONA
animeNumEpisode	10
releaseDate	2017-12-14 00:00:00
endDate	2018-02-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15956
animeDescription	"The ""Mentori"" mascot originates from a series of line stamps meant to evoke the feeling of ""mendou da ga toriaezu henshin"" (it's annoying, but I guess I'll reply). The anime follows the birds in a gag-filled comedy quite often breaking the 4th wall. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
