animeTitle	Yoshida no Time Slip Fumai-kou
animeType	ONA
animeNumEpisode	3
releaseDate	2018-04-01 00:00:00
endDate	2018-06-01 00:00:00
animeNumMembers	277
animeScore	
animeUsers	
animeRank	14487
animePopularity	14900
animeDescription	A Matsue City collaboration anime with Eagle Talon. A young Matsudaira Harusato (aka Matsudaira Fumai) who was once the ruled of Matsue time slips to the present. Yoshida ends up explaining Fumai's achievements to Fumai himself.
animeRelated	['Heisei Matsue Kaidan: Ayashi', 'Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour', 'Yoshida no Matsue Beauty Daisakusen', 'Yoshida no Matsue Beauty Daisakusen Prologue', '3-bu de Wakaru Koizumi Yakumo no Kaidan', 'Heisei Matsue Kaidan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
