animeTitle	Sansha Sanyou Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	2514
animeRank	
animePopularity	6384
animeDescription	Bundled with BD/DVD volumes 1-3.
animeRelated	['Sansha Sanyou']
animeCharacters	['Odagiri, Futaba', 'Nishikawa, Youko', 'Hayama, Teru', 'Sonobe, Shino', 'Nishiyama, Serina', 'Hayama, Kou', 'Tsuji, Sasame', 'Yamaji, Mitsugu', 'Kondou, Asako', 'Takezono, Yuu']
animeVoices	['Kanazawa, Mai', 'Wakui, Yuu', 'Imamura, Ayaka', 'Momokawa, Rika', 'Machico', 'Nishi, Asuka', 'Tanaka, Chiemi', 'Akabane, Kenji', 'Suzuki, Aina', 'Watanabe, Haruka']
animeStaff	[]
