animeTitle	Hero Mask 2nd Season
animeType	ONA
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	3897
animeRank	
animePopularity	5394
animeDescription	Second part of Hero Mask.
animeRelated	['Hero Mask']
animeCharacters	['Blood, James', 'Chandler, Edmond', 'Creighton, Harry', 'Gallagher, Lennox', 'Hurst, Tina']
animeVoices	['Shimamura, Yuu']
animeStaff	[['Aoki, Hiroyasu', 'Director, Series Composition'], ['Gonzalez, Silvio', 'ADR Director'], ['Schubert, Rafael', 'ADR Director']]
