animeTitle	Roba
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	170
animeRank	
animePopularity	14184
animeDescription	A man and his young son travel through the countryside to take their donkey to a horse auction. Unfortunately every person they pass has a different opinion on how this should be accomplished, leading to disastrous results when the dim-witted father abandons common sense in an attempt to please everyone.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
