animeTitle	Kanamewo
animeType	ONA
animeNumEpisode	1
releaseDate	2015-11-04 00:00:00
endDate	
animeNumMembers	14568
animeScore	6.62
animeUsers	7529
animeRank	5498
animePopularity	4573
animeDescription	A young, unnamed woman, while biking home from the bank she works at, happens upon a weakened tree goddess whose native shrine is being demolished for construction work. She rescues her and brings the goddess home with her. The two form a relationship, but what will happen to the goddess as the construction progresses?
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
