animeTitle	Tate no Yuusha no Nariagari Season 2
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	482
animeDescription	Second season of Tate no Yuusha no Nariagari.
animeRelated	['Tate no Yuusha no Nariagari', 'Tate no Yuusha no Nariagari Season 3']
animeCharacters	['Raphtalia', 'Iwatani, Naofumi', 'Filo', 'Melromarc, Melty Q', 'Melromarc, Mirelia Q', 'Amaki, Ren', 'Ivyred, Rishia', 'Kitamura, Motoyasu', 'Kawasumi, Itsuki']
animeVoices	['Seto, Asami', 'Ishikawa, Kaito', 'Hidaka, Rina', 'Uchida, Maaya', 'Inoue, Kikuko', 'Matsuoka, Yoshitsugu', 'Hara, Natsuko', 'Takahashi, Makoto', 'Yamaya, Yoshitaka']
animeStaff	[['Jinbo, Masato', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Penkin, Kevin', 'Music'], ['Aneko, Yusagi', 'Original Creator']]
