animeTitle	Zettai Bouei Leviathan
animeType	TV
animeNumEpisode	13
releaseDate	2013-04-06 00:00:00
endDate	2013-07-06 00:00:00
animeNumMembers	26150
animeScore	6.3
animeUsers	9623
animeRank	7202
animePopularity	3528
animeDescription	"The story is set in Aquafall, a fantasy world abound with water and greenery, and populated by dragons and fairies. Meteorites suddenly bring forth evil creatures that threaten all living things on the planet. The fairy Syrup assembles the Aquafall Defense Force, with three girls of the dragon clans as recruits. The story follows Syrup and the dragon girls Leviathan, Bahamut, and Jörmungandr as they work together to battle enemies and grow up.

(Source: ANN)"
animeRelated	['Zettai Bouei Leviathan: Mini Takibi Gekijou']
animeCharacters	"['Leviathan', 'Bahamut', 'Jormungandr', 'Syrup', ""Leviathan's Brother"", 'Coal Miner #3', 'Coal Miner #5', 'Sphinx', 'Old man', 'Wyvern']"
animeVoices	['Hayami, Saori', 'Kitamura, Eri', 'Taketatsu, Ayana', 'Hanazawa, Kana', 'Kondou, Takashi', 'Nagatsuma, Juri', 'Nanase, Ami']
animeStaff	[['Yatagai, Kenichi', 'Director'], ['Morita, Yousuke', 'Sound Director'], ['Nishimoto, Yukio', 'Episode Director, Storyboard'], ['Kanno, Yuki', 'Theme Song Performance']]
