animeTitle	b'Feng Yun Jue'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	900
animeRank	
animePopularity	
animeDescription	"b""This is a sequel to the story featuring two legendary and adventurous characters, Wind & Cloud. The Sword Worship Villa, the world's top sword maker, witnessed the bloody execution of its people due to allegations of conspiring to start a rebellion. The young master of the villa, Ao Jue, is the only survivor of the execution. In order to complete the \xe2\x80\x9cJue\xe2\x80\x9d Sword, forged by generations of his family, Ao Jue swears to attack Tin Ha Wui and battle with Wind & Cloud in order to obtain the blood of the Flame Kylin which can unleash the power of the sword. With Wind's blood containing the blood of the Flame Kylin, he becomes the prime target in Ao Jue's plan of completing the sword."""
animeRelated	[b'Feng Yun', b'Feng Ji Yun Nu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
