animeTitle	Ozmafia!!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.45
animeUsers	6210
animeRank	
animePopularity	4106
animeDescription	The anime will feature an original story from the game on which it is based. 
animeRelated	['Ozmafia!!', 'Ozmafia!! Special']
animeCharacters	['Kyrie', 'Scarlet', 'Caramia', 'Axel', 'Caesar', 'Sou', 'Pashet', 'Hameln', 'Alfani', 'Judie']
animeVoices	['Okitsu, Kazuyuki', 'Ichiki, Mitsuhiro', 'Shingaki, Tarusuke', 'Kakehashi, Atsushi', 'Kirimoto, Takuya', 'Iguchi, Yuuichi', 'Fujii, Kyoko', 'Ono, Yuuki', 'Takahashi, Makoto']
animeStaff	[['Hirasawa, Hisayoshi', 'Director'], ['Hayashi, Kouji', 'Director of Photography'], ['Shiraishi, Yuika', 'Sound Effects'], ['Natsuno, Hamuto', 'Original Character Design']]
