animeTitle	Tsuma Tsuma
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	1521
animeRank	
animePopularity	7618
animeDescription	"Sakuraba Kotaro succeeded to a little grocery store from his dead father. With help of Nagisha, his mother-in-law, and Nagisa, his sister, he managed to keep the store. One day, a big supermarket, Kaneyu, urged him to deliver the shop. The man in charge of Kaneyu was his brother who had run away from home giving up his father's business. 

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Minowa, Touko', 'Sakuraba, Minato', 'Sakuraba, Nagisa', 'Kinjou, Taiyou', 'Oshima, Yusuke', 'Oshima, Akira', 'Atsuko, Misaki']
animeVoices	['Asano, Ruri', 'Kogure, Ema']
animeStaff	[]
