animeTitle	Reporter Blues
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	171
animeRank	
animePopularity	11558
animeDescription	"The intelligent Antoinette, known to her friends as Tony, moves to Paris where she takes a job as a reporter for the newspaper """"La Voix de Paris."" Together with the photographer Alain and the artist Bricolage she solves unsolved crimes and often crosses the path of the crook Madame Lapin. "
animeRelated	[]
animeCharacters	['Madame Lepen', 'Alain', 'Dubois, Antoinette']
animeVoices	[]
animeStaff	[['Kodama, Kenji', 'Director'], ['Sugino, Akio', 'Character Design'], ['Yokoyama, Masakazu', 'Sound Effects'], ['Tamura, Kazuhiko', 'Key Animation']]
