animeTitle	Doraemon: It's Autumn!
animeType	Special
animeNumEpisode	1
releaseDate	1986-04-04 00:00:00
endDate	
animeNumMembers	1465
animeScore	6.38
animeUsers	596
animeRank	6772
animePopularity	10220
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Doraemon (1979)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi']
animeVoices	['Ooyama, Nobuyo']
animeStaff	[['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']]
