animeTitle	Ginga Kikoutai Majestic Prince
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	20577
animeRank	
animePopularity	2472
animeDescription	"In the latter half of 21st century, humans leave the Earth and begin to live in space. In order to adapt to the environment in space and deal with the hostile aliens in Jupiter, genetically engineered children called ""Princes"" are artificially raised and trained to be pilots of armed robots ""AHSMB (Advanced High Standard Multipurpose Battle Device). This is a story about one of the teenage ""Princes,"" Hitachi O Izuru, who studies in an academic city Grandzehle.

(Source: MAL News)"
animeRelated	['Majestic Prince', 'Ginga Kikoutai Majestic Prince', 'Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa']
animeCharacters	['Hitachi, Izuru', 'Kugimiya, Kei', 'Asagi, Toshikazu', 'Irie, Tamaki', 'Suruga, Ataru', 'Suzukaze, Rin', 'Maxwell, Randy', 'Lutier', 'Saionji, Reika', 'Komine']
animeVoices	['Aiba, Hiroki', 'Hikasa, Youko', 'Asanuma, Shintaro', 'Iguchi, Yuka', 'Ikeda, Junya', 'Sawashiro, Miyuki', 'Katsu, Anri', 'Yukana', 'Ohara, Sayaka', 'Nakanishi, Toshiharu']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Sueda, Yoshifumi', 'Episode Director'], ['Yoshida, Reiko', 'Script, Series Composition']]
