animeTitle	Sobakasu Pucchi
animeType	TV
animeNumEpisode	162
releaseDate	1969-03-31 00:00:00
endDate	1969-10-04 00:00:00
animeNumMembers	265
animeScore	
animeUsers	
animeRank	13422
animePopularity	15039
animeDescription	"A kids adventure and comedy series. Each 5 minute episode aired Monday through Saturday in a continuing story which completed at the end of the week.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Pucchi', 'Narrator']
animeVoices	['Chijimatsu, Sachiko', 'Kamiyama, Takuzou']
animeStaff	[['Aoki, Takashi', 'Episode Director, Original Creator'], ['Ishiguro, Noboru', 'Script'], ['Andou, Toyohiro', 'Script'], ['Wakabayashi, Tadao', 'Animation Director']]
