animeTitle	"b""Anne's Secret Diary"""
animeType	b'Movie'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Videos directed by mareykrap that were featured at the My Name is Red-Haired Anne art exhibition in Seoul, South Korea, which showcases the artistic talents of Korean artists through the imaginative retelling and reinterpretation of Anne of Green Gables. These videos were used for the 1st chapter of the exhibit titled ""A Poor Orphan Girl"".'"
animeRelated	"[b""I'm Just Me""]"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
