animeTitle	Uniminipet
animeType	TV
animeNumEpisode	26
releaseDate	2001-06-15 00:00:00
endDate	2001-12-07 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15077
animeDescription	"Dong Woo is a very pleasant, responsible and cheerful boy. He gets weird feelings every time he opens his closet door and is the only one that can sense these feelings. Why is this? Dong Woo is destined to be ""the person that opens the Door"". His closet is a secret channel that connects the real world to the fourth dimension world called ""Uniland "". Whenever he opens the door, the wavelength from the other world is transferred to him.

(Source: AWN, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
