animeTitle	Wakaokami wa Shougakusei!
animeType	TV
animeNumEpisode	24
releaseDate	2018-04-08 00:00:00
endDate	2018-09-23 00:00:00
animeNumMembers	5946
animeScore	6.63
animeUsers	1142
animeRank	5440
animePopularity	6536
animeDescription	"12-year-old Oriko Seki, who lost her parents in a car accident, ended up living in her grandmother's Onsen Ryokan ""Haru no Ya."" With the ghost ""Uribou"" cohabitating with her and all the other odds, she ended up training to be a young female innkeeper. At first, she didn't like the training, but gradually felt her admiration for her title and began to train seriously. Thus, the growth of the young warrior Oriko begins.

(Source: MAL News)"
animeRelated	['Wakaokami wa Shougakusei! Movie']
animeCharacters	['Seki, Oriko', 'Tateuri, Makoto', 'Akino, Miyo', 'Suzuki', 'Akino, Matsuki', 'Suiryou, Seiko', 'Seki, Mineko', 'Lin, Rui-Ling', 'Tateuri, Kengo', 'Fujiwara, Aoi']
animeVoices	['Kobayashi, Seiran', 'Matsuda, Satsumi', 'Hidaka, Rina', 'Kozakura, Etsuko', 'Mizuki, Nana', 'Hashimoto, Yui', 'Ichiryuusai, Harumi', 'Hidaka, Noriko', 'Kobayashi, Yuu', 'Senbongi, Sayaka']
animeStaff	[['Umetsu, Satoshi', 'Producer'], ['Masuhara, Mitsuyuki', 'Director'], ['Tani, Azuma', 'Director'], ['Mima, Masafumi', 'Sound Director']]
