animeTitle	PLUG, THe NeW WORLD
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15630
animeDescription	"Nissan Motor Co., Ltd. opened a game-style promotion website, ‘THE PLANET ZERO’, where users can experience a zero-emission society in an understandable way, as part of its comprehensive approach for realizing a zero-emission society, making users enjoy leaning a zero-emission society which Nissan aims for and the value and the appeal EV will bring about.

Unique characters designed to look like solar power and wind power generation systems including one created based on zero-emission mobility, named ‘PLUG’.

(Source: nissan-global.com)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
