animeTitle	b'Project HAL'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	206
animeRank	
animePopularity	
animeDescription	b'Students in the Tokyo, Osaka and Nagoya branches of HAL College of Technology and Design under supervision and sponsorship by professional mecha designer Takayuki Yanase along with other industry professionals, created a series of 3 web movies to act as commercials.\n\nThe three teams\xe2\x80\x94each consisting of 16 members including animators, artists and effect technicians\xe2\x80\x94are working on their own advertisements to display the talent of the students and the subjects one can learn through attending HAL such as game design, anime development and even car design. Each team is drawing from the same design and story to create their own unique commercials. Initially all 3 branches released a 16-sec. CM before each completing the full 39-sec. Web Movie.\n\nMusic for each creation is provided by J-rock band MY FIRST STORY.\n\n(Source: Anime News Network)'
animeRelated	[b'Kirai, Demo, Suki', b'BUCK-TICK x HAL']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
