animeTitle	Shichisei no Subaru
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	40663
animeRank	
animePopularity	1463
animeDescription	"Asahi's life in reality ended simultaneously when she died playing Union, a world-renowned online RPG. The members of Subaru went separate ways when Union shut down due to Asahi's death. Six years later, Haruto logs onto a renewed version of Re'Union and reunites with Asahi who had died. Is it really her or just an electronic ghost? The former team members reunite and enter the mysterious and deadly online game to find out.

(Source: TBS Global Business)"
animeRelated	['Shichisei no Subaru']
animeCharacters	['Usui, Satsuki', 'Kuga, Asahi', 'Amou, Haruto', 'Vivali, Clive', 'Mikado, Takanori', 'Kusaka, Nozomi', 'Elicia', 'Amou, Haruna']
animeVoices	['Kitou, Akari', 'Oomori, Nichika', 'Takanashi, Kengo', 'Terashima, Takuma', 'Ishikawa, Kaito', 'Hanamori, Yumiri', 'Anzai, Chika', 'Akao, Hikaru']
animeStaff	[['Nishouji, Yoshihito', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Yoshioka, Takao', 'Script, Series Composition'], ['Yamazaki, Erii', 'Theme Song Performance']]
