animeTitle	Weiqi Shaonian
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12889
animeDescription	"The story focuses on the journey of Go prodigy, Jiang Liuer, who was encouraged by a monk to learn chess skills of various schools to participate in the 20-year National Go Competition, competing against other sects and Japanese players for the title of ""Master of Chess."""
animeRelated	['Weiqi Shaonian 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
