animeTitle	Dead Girl Trailer
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.52
animeUsers	1349
animeRank	
animePopularity	9307
animeDescription	"Once upon a time, a girl was brutally murdered. Stabbed mercilessly and left for dead, she never received justice and her sadistic killer got away. That was until, through supernatural and unknown forces, she was brought back to life—as a zombie! Powerful, relentless, and hungry, Dead Girl is out for revenge!

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
