animeTitle	Tanitsu Shikousei Overbloom
animeType	Music
animeNumEpisode	1
releaseDate	2019-12-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	264
animeRank	
animePopularity	13412
animeDescription	Official music video for the song Tanitsu Shikousei Overbloom by the fictional band HaNaMiNa. It is the 47th song in the Irodorimidori franchise and focuses on Hana Katsuragi.
animeRelated	"['""Star""t', 'Minna e wo Check!']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
