animeTitle	Gundam: G no Reconguista Movie II - Bellri Gekishin
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	243
animeRank	
animePopularity	10681
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Gundam: G no Reconguista', 'Gundam: G no Reconguista Movie I - Ike! Core Fighter', 'Gundam: G no Reconguista Movie III - Uchuu kara no Isan']
animeCharacters	['Zenam, Bellri', 'Surugan, Aida', 'Monday, Raraiya', 'Nick, Klim', 'Zenam, Wilmit', 'Peor, Barara', 'Nug, Noredo', 'Yoh, Kerbes', 'Lee, Luin', 'Happa']
animeVoices	['Ishii, Mark', 'Shimamura, Yuu', 'Fukui, Yukari', 'Oosaka, Ryouta', 'Tanaka, Atsuko', 'Nakahara, Mai', 'Kotobuki, Minako', 'Suda, Yusuke', 'Satou, Takuya', 'Suzuki, Chihiro']
animeStaff	[]
