animeTitle	Barbapapa (1977)
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	248
animeRank	
animePopularity	12115
animeDescription	"Based on a series of children's books written in the 1970s by Annette Tison and Talus Taylor.

Adding to the first serie from 1975, the second serie brings 48 new episodes.

(Source: AniDB)"
animeRelated	['Barbapapa', 'Barbapapa Sekai wo Mawaru']
animeCharacters	['Barbapapa', 'Barbabelle', 'Barbamama']
animeVoices	[]
animeStaff	[['Yamada, Katsuhisa', 'Director'], ['Tsuji, Masaki', 'Script'], ['Gruber, Franz Xaver', 'Theme Song Composition'], ['Suginami Jidou Gasshoudan', 'Inserted Song Performance']]
