animeTitle	Hitozuma Koukan Nikki
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	1665
animeRank	
animePopularity	7244
animeDescription	"Kouichi lives a happy life with his wife, Kanako, and daughter, Nao. But one day, Kimihiko, his neighbor, says to him, ""Do you wanna fool around with a married woman?"" ""What?"" What Kimihiko suggests Kouichi is to swap their wives. Kouichi doesn't take it seriously at first, but....

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Okano, Sachie']
animeVoices	[]
animeStaff	[['Tsubone, Kentarou', 'Editing']]
