animeTitle	Tenrankai no E
animeType	Movie
animeNumEpisode	1
releaseDate	1966-11-11 00:00:00
endDate	
animeNumMembers	1966
animeScore	6.23
animeUsers	899
animeRank	7530
animePopularity	9482
animeDescription	"A series of short animated segments, without dialog, explore major characters of modern society, such as the plastic surgeon, the fashion-obsessed woman, the rumor-monger, and others, leading to a concluding comment on the progress of civilization. 

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
