animeTitle	b'Wave!!: Surfing Yappe!! (TV)'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	9210
animeRank	
animePopularity	
animeDescription	b'Masaki Hinaoka, who grew up near the coast of Ooarai in Ibaraki Prefecture, meets a prince-like transfer student Shou Akitsuki before the summer break, who introduces him to the world of surfing. Through surfing, Masaki meets irreplaceable friends and experiences farewell as he becomes an adult. It is the beginning of a never-ending story of boys fascinated by the charm of surfing.\n\n(Source: MAL News)'
animeRelated	[b'Wave!!: Surfing Yappe!!']
animeCharacters	[b'Tanaka, Nalu', b'Kido, Naoya', b'Fuke, Rindou', b'Hinaoka, Masaki', b'Mori, Souichirou William', b'Iwana, Kousuke', b'Matsukaze, Yuuta', b'Akitsuki, Shou']
animeVoices	[b'\nNakajima, Yoshiki\nJapanese\n', b'\nToki, Shunichi\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nSatou, Takuya\nJapanese\n', b'\nShirai, Yuusuke\nJapanese\n', b'\nOgasawara, Jin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOzaki, Takaharu\n\nDirector\n\n', b'\nYokota, Chikako\n\nSound Director\n\n', b'\nSarachi, Yomi\n\nOriginal Character Design\n\n', b'\nFudeyasu, Kazuyuki\n\nSeries Composition\n\n']
