animeTitle	T-sensei
animeType	ONA
animeNumEpisode	14
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10961
animeDescription	"The author initially started as a childcare worker living in Tokyo, calling himself T-sensei and describing his life of tending kindergarteners on his Twitter since 2012, which received various positive responses.

(Source: MAL News)"
animeRelated	"['T-sensei', ""Don't Cry""]"
animeCharacters	['T-sensei']
animeVoices	['Shimazaki, Nobunaga']
animeStaff	[['Yukue, Moegi', 'Original Creator'], ['T-sensei', 'Original Creator']]
