animeTitle	b'Heibai Wushang'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	943
animeRank	
animePopularity	
animeDescription	b'A story about two young demons who are always slacking off at work, a place that happens to be an organization that vows to keep the balance between the worlds of the living and dead by killing humans!\n\n(Source: Cave Scanlations)'
animeRelated	[b'Heibai Wushang', b'Heibai Wushang 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
