animeTitle	Eomma Chaja Sammanli
animeType	Movie
animeNumEpisode	1
releaseDate	1981-01-05 00:00:00
endDate	
animeNumMembers	108
animeScore	
animeUsers	
animeRank	15556
animePopularity	17696
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Haha wo Tazunete Sanzenri', 'Marco: Haha wo Tazunete Sanzenri', 'Haha wo Tazunete Sanzenri (Movie)', 'Haha wo Tazunete Sanzenri (Special)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
