animeTitle	Kakuza Tousan Specials
animeType	Special
animeNumEpisode	2
releaseDate	2007-06-20 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18198
animeDescription	DVD specials of Kakuza Tousan. The first episode has a musician lemon and balloon fight for Touko's affection. The second episode has a French speaking sugar stick packet as the fiancé of an oddly young Touko.
animeRelated	['Kakuza Tousan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
