animeTitle	The Snack World (TV)
animeType	TV
animeNumEpisode	50
releaseDate	2017-04-13 00:00:00
endDate	2018-04-19 00:00:00
animeNumMembers	561
animeScore	
animeUsers	
animeRank	13816
animePopularity	12649
animeDescription	"In ""a certain era"" on ""a certain continent,"" banal things are happening. The construction of ""Large-Scale Leisure Facilities"" has demanded that all the villages are to be evicted. When these demands are denied, the village and its residents are obliterated. A boy named Chap once lived in tranquility, but that happiness soon came crumbling down. He decides to embark on a journey of revenge, but soon falls madly in love with the king's daughter, Princess Melora. In order to fulfill her selfish wishes, he gathers his friends in order to overcome the impossible."
animeRelated	['The Snack World', 'The Snack World: Hitogirai no Renny']
animeCharacters	['Mayone', 'Peperon', 'Chup']
animeVoices	[]
animeStaff	[]
