animeTitle	b'Renzu: Futari no Kyori'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	381
animeRank	
animePopularity	
animeDescription	b'During his high school years, Tohru Shioda saved his childhood friend Asuka Misaki in exchange for his golden leg. Unable to play soccer anymore, he now spends his time staring through his camera. Asuka still holds feelings for him, but there`s an emotion inside Shioda that keeps him from feeling the same way. Will there be a happy ending? '
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
