animeTitle	Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing
animeType	Movie
animeNumEpisode	1
releaseDate	2004-07-17 00:00:00
endDate	
animeNumMembers	245
animeScore	
animeUsers	
animeRank	13511
animePopularity	15340
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Tsukiko-chan', 'Batako-san', 'Shiratama-san', 'Rollpanna', 'Horrorman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Ishiguro, Aya', 'Sakuma, Rei', 'Ikura, Kazue', 'Tominaga, Miina', 'Kimotsuki, Kaneta']
animeStaff	[['Yanase, Takashi', 'Original Creator']]
