animeTitle	Ikebukuro PR Anime
animeType	ONA
animeNumEpisode	1
releaseDate	2019-01-17 00:00:00
endDate	
animeNumMembers	1506
animeScore	6.14
animeUsers	491
animeRank	7976
animePopularity	10187
animeDescription	"The anime's story takes place in the year 2020, near the Hareza Tower building plaza. This is an area under development currently but is expected to be completed by 2020. A girl gives chase to an owl she sees in Ikebukuro. Over the course of the anime, the audience witnesses the girl grow and learns about the charm of Ikebukuro, a place where ""everyone can be the lead player.""

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
