animeTitle	Injuu Nerawareta Idol
animeType	OVA
animeNumEpisode	1
releaseDate	1997-07-02 00:00:00
endDate	
animeNumMembers	1275
animeScore	4.72
animeUsers	449
animeRank	
animePopularity	10530
animeDescription	"Ikumi is an up-and-coming pop singer with millions of fans and a promising acting career. She should be looking at the world through rose-colored glasses, but she's got man trouble.

The love of her life just isn't sure he can handle Ikumi's fame and fortune. To make matters worse, while shooting on location, a jealous costar finds a strange wooden idol in an abandoned temple and uses it to invoke a hideous demon to be the instrument of her revenge. Will Ikumi's next concert be her last curtain call? She's about to discover that there really are fates worse than death."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
