animeTitle	b'Mezame no Hakobune'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	1067
animeRank	
animePopularity	
animeDescription	"b'The plot of Open Your Mind follows the extraterrestrial origin of life, coming from outerspace as six deities (Intermission act), evolving into water (Sho-ho) then emerging to the air (Hyakkin) and to the ground (Ku-nu). Each one of these creatures rules one of the six elements of the godai philosophy, i.e. Earth, Water, Fire, Wind (referred to as kaze in the Hyakkin chant), Sky and Consciousness (referred to as ""Awakening"" in the movie\'s title). \n\n(Source: Wikipedia)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
