animeTitle	Be-Bop Highschool
animeType	OVA
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	1304
animeRank	
animePopularity	6512
animeDescription	"For the invincible and basically happy punk lads Hiroshi and Toru, what they care about every day is to get a lot of attention from girls and to win the fights against the lads from other schools. Whenever provoked, they just go out fighting and settle the situation no matter what it costs.

(Source: AniDB)"
animeRelated	['Be-Bop-Highschool', 'Be-Bop Kaizokuban']
animeCharacters	['Nakama, Tooru', 'Katou, Hiroshi', 'Miharayama, Junko']
animeVoices	['Tachiki, Fumihiko', 'Onosaka, Masaya']
animeStaff	[['Kakudou, Hiroyuki', 'Director'], ['Hayama, Junichi', 'Animation Director'], ['Higashi, Junichi', 'Art Director'], ['Hamasu, Hideki', 'Assistant Animation Director, Key Animation']]
