animeTitle	Ariel Deluxe
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.55
animeUsers	473
animeRank	
animePopularity	10412
animeDescription	"Those incompetent aliens are still plotting to conquer the Earth! The only obstacle in their path is the giant, feminine robot ARIEL! But the young pilots have lives of their own... When Kazumi receives a mysterious love letter from a secret admirer, should she cancel her first date just to save the Earth? 

(Source: AnimeNfo)"
animeRelated	['ARIEL', 'Ariel Visual']
animeCharacters	['Kawai, Mia', 'Kishida, Kazumi', 'Dr. Kishida', 'Kishida, Aya', 'Torefan, Simone', 'Houser, Albert', 'Demonova']
animeVoices	['Tomizawa, Michie', 'Hayashibara, Megumi', 'Saka, Osamu', 'Mizutani, Yuuko', 'Hirano, Fumi', 'Shiozawa, Kaneto', 'Yamadera, Kouichi']
animeStaff	"[['Watanabe, Junichi', 'Director'], ['Tanaka, Kouhei', 'Music'], ['Honda, Takeshi', 'Key Animation'], [""O'Donnell, John"", 'Executive Producer']]"
