animeTitle	Matsuda-ke Curry Battle
animeType	Special
animeNumEpisode	1
releaseDate	2018-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15892
animeDescription	A video created for the Matsuda family wedding ceremony in October by Inoue Ryou. In it the wedding couple battles out whose curry is better but in the end, both taste great according to the couple's baby.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
