animeTitle	Maou Dante
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	3015
animeRank	
animePopularity	5589
animeDescription	"While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice.

(Source: ANN)"
animeRelated	['Maou Dante', 'Devilman Lady', 'Devilman']
animeCharacters	['Utsugi, Ryou', 'Gorgon, Medusa', 'Zannin, Demon General', 'Lamia']
animeVoices	['Chiba, Susumu', 'Ishizuka, Rie', 'Shibuya, Shigeru', 'Ochiai, Rumi']
animeStaff	[['Maejima, Kenichi', 'Director, Storyboard'], ['Takahashi, Hideo', 'Sound Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard'], ['Noshitani, Mitsutaka', 'Episode Director']]
