animeTitle	Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore
animeType	TV
animeNumEpisode	12
releaseDate	2021-07-07 00:00:00
endDate	2021-09-22 00:00:00
animeNumMembers	86794
animeScore	6.52
animeUsers	23843
animeRank	6008
animePopularity	1792
animeDescription	"Reiji Kirio, formerly a corporate slave, wakes up one day in another world. After discovering that he has gained superhuman pharmaceutical knowledge, he decides to open up a drugstore alongside the canine Noera and the ghostly Mina. There, he tends to the needs of all who visit the shop with potions and the like.

Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore follows the slow but often hectic days of Reiji's drugstore.

[Written by MAL Rewrite]"
animeRelated	['Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore']
animeCharacters	['Noera', 'Mina', 'Kirio, Reiji', 'Ezil, Garou', 'Annabelle', 'Vivi', 'Paula', 'Feris', 'Elaine', 'Lady Flam']
animeVoices	['Matsuda, Risae', 'Kumada, Akane', 'Fukushima, Jun', 'Uchimura, Fumiko', 'Higashiuchi, Mariko', 'Oonishi, Saori', 'Hirose, Seika', 'Matsuda, Satsumi']
animeStaff	[['Satou, Masafumi', 'Director'], ['Fukushima, Jun', 'Theme Song Performance'], ['Kumada, Akane', 'Theme Song Performance'], ['Matsuda, Risae', 'Theme Song Performance']]
