animeTitle	Fushigi Mahou Fun Fun Pharmacy
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	379
animeRank	
animePopularity	8914
animeDescription	In a small town, there is a small pharmacy called Fun Fun Parmacy. Popuri, a girl who recently moved in downtown, discovers this pharmacy and meets Miss Fukiko, who is actually a witch. Miss Fukiko gives Popuri a mysterious bottle that can create magic spirits.
animeRelated	['Fushigi Mahou Fun Fun Pharmacy']
animeCharacters	['Nishino, Kaori', 'Natsumi', 'Fukiko, Miss', 'Niboshi', 'Amane', 'Laluu', 'Rick', 'Shibu', 'Pinch', 'Grim']
animeVoices	['Konishi, Hiroko', 'Yajima, Akiko', 'Matsushima, Minori', 'Mitsuishi, Kotono', 'Misaki, Akemi', 'Nagano, Ai', 'Tenjin, Umi', 'Tajitsu, Naritoshi']
animeStaff	[['Kaizawa, Yukio', 'Director, Episode Director'], ['Igarashi, Takuya', 'Episode Director'], ['Kosaka, Harume', 'Episode Director'], ['Imazawa, Tetsuo', 'Episode Director']]
