animeTitle	Shijin no Shougai
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	578
animeRank	
animePopularity	10402
animeDescription	A worker is fired from a factory for demanding a wage increase. His mother, worn thin by poverty, is caught in her own spinning wheel. Then a strange storm buries the town in snow, freezing rich and poor alike. Another short film by Kihachiro Kawamoto
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
