animeTitle	Sasurai no Shoujo Nell
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	244
animeRank	
animePopularity	10500
animeDescription	Nell is a young girl living with her grandfather, Mr Trent, the owner of a shop in London. As he couldn't payback a loan he made, he has to flee with Nell. They decide to search for Nell's mother, who is living somewhere in Great Britain...
animeRelated	[]
animeCharacters	['Trent', 'Nell', 'Rosa', 'Narrator', 'Brass', 'Kilp', 'Mystery Man', 'Kit']
animeVoices	['Mine, Eken', 'Ichiryuusai, Harumi', 'Takahashi, Naoko', 'Inagaki, Mihoko', 'Yashiro, Shun', 'Kumakura, Kazuo', 'Sogabe, Kazuyuki', 'Oota, Yoshiko']
animeStaff	[['Nishimaki, Hideo', 'Director'], ['Fuji, Mineo', 'Episode Director, Storyboard'], ['Dickens, Charles', 'Original Creator'], ['Kuzuoka, Hiroshi', 'Animation Director']]
