animeTitle	Nameko-ke no Ichizoku
animeType	OVA
animeNumEpisode	13
releaseDate	2013-12-20 00:00:00
endDate	2014-07-16 00:00:00
animeNumMembers	
animeScore	6.2
animeUsers	262
animeRank	
animePopularity	11553
animeDescription	It will be about the daily life of a big family of mushrooms living together.
animeRelated	['Nameko: Sekai no Tomodachi']
animeCharacters	['Nameko', 'Grandmother', 'Younger Sister', 'Younger Brother', 'Father', 'Mother', 'Older Brother']
animeVoices	[]
animeStaff	[['Sugimoto, Ayumi', 'Art Director'], ['Yanagi, Keisuke', 'Editing']]
