animeTitle	b'Start no Aizu'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Ao Hibiki is a virtual youtuber. Her character was signed on by the Avex Inc. as a musician for a radio program on August 23, 2018. This is the official music video created under the company's label. Avex stated on their official YouTube channel that if Ao doesn't get 1 million views, they will drop her from the radio program.\n\n(Source: Avex's Official YouTube channel)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
