animeTitle	Shounen Tokugawa Ieyasu
animeType	TV
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13480
animeDescription	"A historical tale of the early life of Tokugawa Ieyasu, who would eventually become shogun and establish the Edo Period in Japan.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Tokugawa, Ieyasu', 'Koi, Kiyoshi', 'Narrator']
animeVoices	['Komiyama, Kiyoshi', 'Inoue, Makio', 'Utsumi, Kenji']
animeStaff	[['Yabuki, Kimio', 'Director, Episode Director'], ['Tamiya, Takeshi', 'Director, Episode Director'], ['Katsumata, Tomoharu', 'Episode Director'], ['Imazawa, Tetsuo', 'Episode Director']]
