animeTitle	Softenni Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	1817
animeRank	
animePopularity	7558
animeDescription	Special episodes from the Blu-rays and DVDs.
animeRelated	['Softenni']
animeCharacters	['Fuyukawa, Kurusu', 'Harukaze, Asuna', 'Akiyama, Chitose', 'Hiragishi, Yayoi', 'Warren, Elizabeth', 'Sawanatsu, Kotone']
animeVoices	['Akesaka, Satomi', 'Itou, Kanae', 'Itou, Shizuka', 'Tomatsu, Haruka', 'Yahagi, Sayuri', 'Kitamura, Eri']
animeStaff	[['Matsuda, Akito', 'Music'], ['Oka, Yuuichi', 'Character Design'], ['Azuchi, Ryo', 'Original Creator']]
