animeTitle	Chen-Kuro Gakuen
animeType	Movie
animeNumEpisode	3
releaseDate	2016-12-03 00:00:00
endDate	2017-02-11 00:00:00
animeNumMembers	735
animeScore	5.58
animeUsers	109
animeRank	10125
animePopularity	11926
animeDescription	"Each of the three Chain Chronicle: Haecceitas no Hikari films will run with a ""Chen-Kuro Gakuen"" (Chen-Kuro Academy) short. ""Chen-Kuro"" is a diminutive way of shortening Chain Chronicle in Japanese.

(Source: ANN)
"
animeRelated	['Chain Chronicle: Haecceitas no Hikari Part 1', 'Chain Chronicle: Haecceitas no Hikari Part 2', 'Chain Chronicle: Haecceitas no Hikari Part 3', 'Kine-Pass Gekijou', 'Kuro-Nikuru Girls', 'Chein Kuro-Nikuru!!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
