animeTitle	Tsuki ga Kirei Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	13824
animeRank	
animePopularity	3421
animeDescription	A series of unaired comedic shorts released with Blu-ray and DVD boxes of Tsuki ga Kirei.
animeRelated	['Tsuki ga Kirei']
animeCharacters	['Mizuno, Ayane', 'Miyamoto, Aira']
animeVoices	[]
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Morita, Kazuaki', 'Character Design'], ['Iga, Takurou', 'Music']]
